,eta,e-going theta [degree],Au-coated beam chamber,Barrel silicon,Barrel muRwell,Forward/backward silicon,Forward/backward MPGD,mRICH AeroGel,Barrel AC-LGAD,Forward AC-LGAD,Dual RICH,Backward AC-LGAD,Backward EMCal,Inner det. spt./service,DIRC,BECal,Active BCal Support,SC Magnet,Barrel HCal,Backward Field Return,Forward EMCal,Forward LHCal
514,-1.729999370497398,20.106400000000008,0.008023319999999957,0.0029101800000000903,0.0,0.006133499999999903,0.0,0.09907228520900327,0.0,0.0,0.0,0.03960998102893894,0.0,0.5034450520900318,0.37037866881028936,18.948715115755622,0.0,0.0,0.0,0.0,0.0,0.0
515,-1.725000017978171,20.205100000000016,0.007985750000000012,0.0028965499999999977,0.0,0.006137399999999944,0.0,0.10147302347266869,0.0,0.0,0.0,0.035895760128617504,0.0,0.501118702893891,0.3686127395498382,18.611421874598076,0.0,0.0,0.0,0.0,0.0,0.0
516,-1.7199988627605174,20.304300000000012,0.007948380000000022,0.002883019999999927,0.0,0.0061413000000001446,0.0,0.10128613601286156,0.0,0.0,0.0,0.030713246302251015,0.0,0.4988047279742756,0.36686042765273374,18.24542063987138,0.0,0.0,0.0,0.0,0.0,0.0
517,-1.7150010306323424,20.403899999999993,0.007911199999999983,0.0028695000000000855,0.0,0.0061452999999999595,0.0,0.11176341993569125,0.0,0.0,0.0,0.02672086366559484,0.0,0.49650307331189586,0.3652229324758861,17.846843131832806,0.0,0.0,0.0,0.0,0.0,0.0
518,-1.7100015863929103,20.50400000000002,0.00787423000000005,0.002856070000000004,0.0,0.006149300000000076,0.0,0.09633020353697738,0.0,0.0,0.0,0.02448127299035363,0.0,0.49421393954983817,0.36356316398713895,17.42237201286173,0.0,0.0,0.0,0.0,0.0,0.0
519,-1.7050006463158986,20.604600000000005,0.007837449999999982,0.002842749999999967,0.0,0.006153400000000052,0.0,0.08924281993569107,0.0,0.0,0.0,0.012103431832797648,0.0,0.49193684598070714,0.36189956591640005,19.846560906752412,0.0,0.0,0.0,0.0,0.0,0.0
520,-1.6999983248440629,20.70569999999998,0.0078008700000000335,0.0028295300000000098,0.0,0.00615739999999999,0.0,0.07426672025723458,0.0,0.0,0.0,1.1280385852213692e-05,0.0,0.48967200321543475,0.3602398520900305,19.653773147909973,0.0,0.0,0.0,0.0,0.0,0.0
521,-1.6949996479088258,20.807199999999995,0.007764480000000036,0.0028163199999999946,0.0,0.006161600000000008,0.0,0.06478199228295789,0.0,0.0,0.0,0.0,0.0,0.48741941157556323,0.3585846591639863,19.19496832154341,0.0,0.0,0.0,0.0,0.0,0.0
522,-1.689999767211119,20.9092,0.007728279999999985,0.002803219999999962,0.0,0.0061657000000000795,0.0,0.0579124057877812,0.0,0.0,0.0,0.0,0.0,0.48517874790996884,0.356918279742764,18.938597546623804,0.0,0.0,0.0,0.0,0.0,0.0
523,-1.684998792153556,21.01170000000002,0.00769228000000006,0.0027901199999998665,0.0,0.006169999999999998,0.0,0.05431380643086853,0.0,0.0,0.0,0.0,0.0,0.482950349839228,0.355255536977491,18.664858774919615,0.0,0.0,0.0,0.0,0.0,0.0
524,-1.6800016753440745,21.114599999999996,0.007656480000000038,0.0027771199999999108,0.0,0.00617430000000007,0.0,0.051765127009646444,0.0,0.0,0.0,0.0,0.0,0.48073333633440635,0.35360211254019147,18.372355189710603,0.0,0.0,0.0,0.0,0.0,0.0
525,-1.6749988101837752,21.218099999999993,0.007620859999999992,0.0027642400000000454,0.027926400000000122,0.006178499999999643,0.0,0.04700219678456593,0.0,0.0,0.0,0.0,0.0,0.4785289575562716,0.35195702250803684,18.05618516720257,0.0,0.0,0.0,0.0,0.0,0.0
526,-1.669999968476702,21.322000000000003,0.007585429999999969,0.002751370000000067,0.05519439999999988,0.006182900000000283,0.0,0.04292601543408374,0.0,0.0,0.0,0.0,0.0,0.476336003536976,0.350321,17.733522816720246,0.0,0.0,0.0,0.0,0.0,0.0
527,-1.6650004080498189,21.4264,0.007550199999999993,0.00273860000000007,0.056625900000000236,0.004640499999999534,0.0,0.04000829421221844,0.0,0.0,0.0,0.0,0.0,0.47415493665595104,0.3486938006430855,19.78963825080385,0.0,0.0,0.0,0.0,0.0,0.0
528,-1.6600002300015633,21.531299999999987,0.007515149999999991,0.0027258500000000435,0.06169900000000022,0.004643899999999299,0.0,0.03803800032154381,0.0,0.0,0.0,0.0,0.0,0.47198603536977696,0.3470749421221848,19.357371141479096,0.0,0.0,0.0,0.0,0.0,0.0
529,-1.6549995337488208,21.63670000000002,0.007480289999999988,0.0027132100000000665,0.061412799999999386,0.004647200000000545,0.0,0.036689357556270105,0.0,0.0,0.0,0.0,0.0,0.46982847041800835,0.34546503536977335,19.153975533762072,0.0,0.0,0.0,0.0,0.0,0.0
530,-1.649998417043392,21.74259999999998,0.007445619999999968,0.002700680000000081,0.061128100000000005,0.004650600000000338,0.0,0.035214285530546494,0.0,0.0,0.0,0.0,0.0,0.4676828398713849,0.34386355627009446,18.940078948553055,0.0,0.0,0.0,0.0,0.0,0.0
531,-1.6450016657047448,21.848900000000015,0.00741112999999997,0.0040321699999999695,0.060845000000000295,0.004654099999999828,0.0,0.03393784501607716,0.0,0.0,0.0,0.0,0.0,0.46554848488746153,0.34227085530546486,18.715020028938923,0.0,0.0,0.0,0.0,0.0,0.0
532,-1.6399999730580326,21.95580000000001,0.007376829999999966,0.004013569999999958,0.05449169999999978,0.004657600000000456,0.0,0.03351885241157568,0.0,0.0,0.0,0.0,0.0,0.4634253704180045,0.34068713183279864,18.475670102893876,0.0,0.0,0.0,0.0,0.0,0.0
533,-1.6349981435036522,22.063199999999995,0.00734271000000004,0.003994989999999887,0.05882689999999963,0.004661100000000903,0.0,0.03226111157556265,0.0,0.0,0.0,0.0,0.0,0.46131428167202426,0.33911135691318417,18.21989719614147,0.0,0.0,0.0,0.0,0.0,0.0
534,-1.6300008932423375,22.170999999999992,0.007308779999999985,0.003976519999999982,0.05883499999999958,0.0046647000000001465,0.0,0.03192556591639857,0.0,0.0,0.0,0.0,0.0,0.4592141414790979,0.3375443569131852,18.004739938906756,0.0,0.0,0.0,0.0,0.0,0.0
535,-1.6249990406893917,22.27940000000001,0.007275029999999997,0.003958169999999971,0.058843700000000124,0.0046682999999997365,0.0,0.031208260128617382,0.0,0.0,0.0,0.0,0.0,0.4571258742765258,0.33598543086816857,19.413673176848874,0.0,0.0,0.0,0.0,0.0,0.0
536,-1.6200019027263806,22.388199999999983,0.007241459999999962,0.0039399399999999665,0.05885300000000057,0.004671899999999438,0.0,0.030573794212218536,0.0,0.0,0.0,0.0,0.0,0.4550487707395478,0.33443522186495334,19.29826774598069,0.0,0.0,0.0,0.0,0.0,0.0
537,-1.6150003800710462,22.497600000000006,0.007208069999999948,0.003921730000000026,0.02598370000000015,0.004675600000000141,0.0,0.029319434405144403,0.0,0.0,0.0,0.0,0.0,0.4529829575562708,0.33289346623794214,19.125171633440527,0.0,0.0,0.0,0.0,0.0,0.0
538,-1.6099991613414946,22.607500000000016,0.007174859999999966,0.0039036400000000268,0.006698300000000037,0.004679399999999875,0.0,0.029410700964630547,0.0,0.0,0.0,0.0,0.0,0.4509287646302237,0.3313593344051463,18.94558262057877,0.0,0.0,0.0,0.0,0.0,0.0
539,-1.6049983300365476,22.717899999999986,0.007141840000000028,0.003885659999999947,0.006667499999999899,0.0046831000000001795,0.0,0.02887279131832761,0.0,0.0,0.0,0.0,0.0,0.4488849672025695,0.32983428295820283,18.75752278456592,0.0,0.0,0.0,0.0,0.0,0.0
540,-1.59999796815188,22.8288,0.007108990000000023,0.0038678099999999074,0.006636799999999934,0.004686900000000185,0.0,0.027519966237942117,0.0,0.0,0.0,0.0,0.0,0.4468534180064332,0.3283166205787758,18.559521392282935,0.0,0.0,0.0,0.0,0.0,0.0
541,-1.5949981561958977,22.940200000000004,0.007076309999999979,0.003850089999999932,0.006606300000000119,0.00469069999999985,0.0,0.0269714028938906,0.0,0.0,0.0,0.0,0.0,0.44483163762057815,0.32680827331189743,18.35026464308682,0.0,0.0,0.0,0.0,0.0,0.0
542,-1.5899989732055064,23.052099999999996,0.0070438200000000045,0.003832379999999906,0.006575900000000015,0.004694699999999937,0.0,0.025660177491961415,0.0,0.0,0.0,0.0,0.0,0.4428221446945327,0.3253069935691329,17.986982855305456,0.0,0.0,0.0,0.0,0.0,0.0
543,-1.585000496761815,23.164500000000004,0.007011499999999961,0.003814800000000091,0.006545800000000088,0.004698600000000039,0.0,0.024209856913183336,0.0,0.0,0.0,0.0,0.0,0.44082233376205676,0.3238149549839241,19.380577652733123,0.0,0.0,0.0,0.0,0.0,0.0
544,-1.5799983865079616,23.277500000000003,0.006979360000000033,0.0037972399999998997,0.006515800000000032,0.004702600000000209,0.0,0.022072782315112616,0.0,0.0,0.0,0.0,0.0,0.43883404405144627,0.32233061736334395,19.249484276527358,0.0,0.0,0.0,0.0,0.0,0.0
545,-1.5750015703729083,23.390899999999988,0.006947390000000058,0.0037799100000000157,0.006485899999999852,0.004706600000000113,0.0,0.020521859807073634,0.0,0.0,0.0,0.0,0.0,0.4368571826366548,0.32085364630225255,19.102150726688123,0.0,0.0,0.0,0.0,0.0,0.0
546,-1.5700013086758031,23.50490000000002,0.006915589999999997,0.0037626100000000577,0.0064561999999999675,0.004710700000000088,0.0,0.016146897106109344,0.0,0.0,0.0,0.0,0.0,0.43489087427653034,0.3193850932475862,18.949922710610934,0.0,0.0,0.0,0.0,0.0,0.0
547,-1.5650020894874808,23.619399999999985,0.006883970000000031,0.0037454299999999784,0.006426699999999898,0.004714800000000033,0.0,0.012194824115755627,0.0,0.0,0.0,0.0,0.0,0.43293507652733093,0.3179247138263669,18.79187512861735,0.0,0.0,0.0,0.0,0.0,0.0
548,-1.5599996467630541,23.734499999999997,0.006852520000000005,0.0037282800000000256,0.006397399999999909,0.004718899999999991,0.0,0.009999637299035507,0.0,0.0,0.0,0.0,0.0,0.4309899025723454,0.31647241479099797,18.627517472668796,0.0,0.0,0.0,0.0,0.0,0.0
549,-1.5549984251556699,23.850099999999998,0.00682124000000001,0.0037112600000000374,0.006368199999999899,0.004723100000000206,0.0,0.006112198392283007,0.0,0.0,0.0,0.0,0.0,0.429055223472667,0.31502821221865174,18.448544231511242,0.0,0.0,0.0,0.0,0.0,0.0
550,-1.5499984918130212,23.966200000000015,0.006790129999999975,0.003694370000000031,0.006339100000000054,0.0047273999999998435,0.0,0.0038595250803858117,0.0,0.0,0.0,0.0,0.0,0.42641560032154413,0.3135911511254011,17.977847675241165,0.0,0.0,0.0,0.0,0.0,0.0
551,-1.544999912551957,24.08280000000002,0.006759189999999965,0.0036775100000000834,0.006310199999999926,0.004731700000000037,0.0,0.0019636672025723466,0.0,0.0,0.0,0.0,0.0,0.42521939196141334,0.31216190353697837,19.329833993569135,0.0,0.0,0.0,0.0,0.0,0.0
552,-1.5399984941652611,24.19999999999999,0.00672841999999997,0.0036607800000000934,0.006281499999999916,0.0047360000000000214,0.0,0.0009020688102893901,0.0,0.0,0.0,0.0,0.0,0.4233163051446943,0.31074136977492034,19.20592262379421,0.0,0.0,0.0,0.0,0.0,0.0
553,-1.5349985962730008,24.317700000000002,0.0066978200000000244,0.003644079999999904,0.006253000000000095,0.004740399999999853,0.0,7.239003215434026e-05,0.0,0.0,0.0,0.0,0.0,0.4214246990353726,0.30932769774919305,19.079599720257225,0.0,0.0,0.0,0.0,0.0,0.0
554,-1.530000280453077,24.435900000000004,0.006667390000000037,0.003627509999999952,0.006233100000000085,0.004744800000000063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41954319999999956,0.3079221254019306,18.95035801607718,0.0,0.0,0.0,0.0,0.0,0.0
555,-1.5249994070778488,24.554699999999997,0.0066371199999999885,0.003611079999999969,0.006204700000000039,0.004749300000000071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41767179999999865,0.30652458199356997,18.818005919614155,0.0,0.0,0.0,0.0,0.0,0.0
556,-1.5200002732081872,24.674000000000007,0.006607019999999966,0.0035946800000000905,0.006176600000000001,0.004753799999999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4158109000000003,0.30513447909967917,18.68203827652734,0.0,0.0,0.0,0.0,0.0,0.0
557,-1.5149987743801658,24.793900000000008,0.006577080000000011,0.003578420000000056,0.0061486000000000145,0.004758400000000058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.43263750000002,0.30378102893892134,18.189193247588392,0.0,0.0,0.0,0.0,0.0,0.0
558,-1.5099991664468577,24.914299999999997,0.006547309999999981,0.0035621900000000145,0.006120800000000074,0.004762999999999906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9823367000000045,0.30237643086816357,18.42637942122187,0.0,0.0,0.0,0.0,0.0,0.0
559,-1.5050015041162823,25.035200000000003,0.006517700000000024,0.0035461000000000208,0.006093099999999985,0.004767699999999875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.067585400000006,0.301011639871378,19.269512443729912,0.03979260450158861,0.0,0.0,0.0,0.0,0.0
560,-1.5000017351573496,25.1567,0.0064882500000000305,0.003530049999999998,0.006065599999999921,0.004772500000000221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2226036000000085,0.29964983922828736,19.162318778135045,0.691461414790993,0.0,0.0,0.0,0.0,0.0
